Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2545,Valkyrie Profile,PS,1999.0,Role-Playing,Enix Corporation,0.07,0.05,0.63,0.05,0.81
2546,Final Fantasy Type-0,PSP,2011.0,Role-Playing,Unknown,0.0,0.0,0.81,0.0,0.81
2547,Pro Evolution Soccer 2010,X360,2009.0,Sports,Konami Digital Entertainment,0.12,0.58,0.03,0.08,0.81
2548,Army Men: Sarge's Heroes,N64,1999.0,Action,3DO,0.68,0.12,0.0,0.01,0.81
2549,Mega Man,NES,1987.0,Platform,Capcom,0.45,0.08,0.27,0.01,0.81
2550,Tom Clancy's Rainbow Six 3,PS2,2004.0,Shooter,Ubisoft,0.4,0.31,0.0,0.1,0.8099999999999999
0,Lego Batman 3: Beyond Gotham,PS3,2014.0,Action,Warner Bros. Interactive Entertainment,0.33,0.35,0.0,0.13,0.81
2552,EarthBound,SNES,1994.0,Role-Playing,Nintendo,0.0,0.0,0.81,0.0,0.81
2553,DiRT 2,X360,2009.0,Racing,Codemasters,0.32,0.4,0.0,0.09,0.81
2555,The Next Tetris,PS,1998.0,Puzzle,Atari,0.45,0.31,0.0,0.05,0.81
2558,Ben 10: Alien Force,Wii,2008.0,Action,Koch Media,0.52,0.21,0.0,0.07,0.81
2560,Final Fantasy XI: Wings of the Goddess,PS2,2007.0,Role-Playing,Square Enix,0.35,0.27,0.09,0.09,0.81
2561,The Sims 2,PS2,2005.0,Simulation,Electronic Arts,0.67,0.03,0.0,0.11,0.81
2562,Guitar Hero: Metallica,X360,2009.0,Misc,Activision,0.52,0.21,0.0,0.07,0.81
2563,NCAA Football 14,PS3,2013.0,Sports,Electronic Arts,0.75,0.0,0.0,0.06,0.8
2564,MadWorld,Wii,2009.0,Action,Sega,0.46,0.25,0.02,0.07,0.8
2565,Fight Night Champion,X360,2011.0,Fighting,Electronic Arts,0.4,0.33,0.0,0.07,0.8
2566,Who wants to be a millionaire,PS,2000.0,Misc,Eidos Interactive,0.45,0.3,0.0,0.05,0.8
2567,Yakuza,PS2,2005.0,Action,Sega,0.03,0.02,0.74,0.01,0.8
2568,Star Wars Rogue Squadron III: Rebel Strike,GC,2003.0,Simulation,LucasArts,0.62,0.16,0.0,0.02,0.8
2569,ABBA: You Can Dance,Wii,2011.0,Misc,Ubisoft,0.19,0.5,0.0,0.11,0.8
2570,Moto Racer,PS,1997.0,Racing,Electronic Arts,0.45,0.3,0.0,0.05,0.8
2572,The Sims 2: Pets,PSP,2006.0,Simulation,Electronic Arts,0.19,0.39,0.0,0.22,0.8
2575,Pro Evolution Soccer 2010,PSP,2009.0,Sports,Konami Digital Entertainment,0.09,0.33,0.2,0.18,0.8
2576,[Prototype 2],X360,2012.0,Action,Activision,0.48,0.25,0.0,0.07,0.8
2577,Sonic & SEGA All-Stars Racing with Banjo-Kazooie,X360,2010.0,Racing,Sega,0.37,0.35,0.0,0.07,0.8
2580,All Star Cheer Squad,Wii,2008.0,Sports,THQ,0.43,0.29,0.0,0.08,0.8
2581,The Sims 2: Castaway,PSP,2007.0,Simulation,Electronic Arts,0.08,0.46,0.0,0.25,0.8
2584,Darksiders II,X360,2012.0,Action,THQ,0.45,0.28,0.0,0.07,0.8
2587,Super Robot Taisen α,PS,2000.0,Strategy,Banpresto,0.0,0.0,0.75,0.05,0.8
2589,Need for Speed: Hot Pursuit 2,GC,2002.0,Racing,Electronic Arts,0.68,0.09,0.0,0.02,0.8
2590,Star Wars: The Force Unleashed II,Wii,2010.0,Action,LucasArts,0.54,0.19,0.0,0.06,0.8
2591,Band Hero,X360,2009.0,Misc,Activision,0.51,0.22,0.0,0.07,0.8
2592,Mario & Sonic at the Sochi 2014 Olympic Winter Games,WiiU,2013.0,Sports,Nintendo,0.39,0.22,0.13,0.06,0.8
2593,Tales of Destiny 2,PS2,2002.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.8,0.0,0.8
2594,Capcom's Soccer Shootout,SNES,1993.0,Sports,Nintendo,0.0,0.0,0.8,0.0,0.8
2597,pro evolution soccer 2011,PSP,2010.0,Sports,Konami Digital Entertainment,0.05,0.3,0.29,0.16,0.79
2598,Alien,2600,1981.0,Action,20th Century Fox Video Games,0.74,0.04,0.0,0.01,0.79
2601,Rayman Origins,X360,2011.0,Platform,Ubisoft,0.38,0.34,0.0,0.08,0.79
2602,Guitar Hero: Aerosmith,PS2,2008.0,Misc,Activision,0.61,0.0,1.1102230246251565e-16,0.18,0.79
2604,Final Fantasy Tactics A2: Grimoire of the Rift,DS,2007.0,Role-Playing,Square Enix,0.42,0.03,0.3,0.04,0.79
2605,Harvest Moon: A Wonderful Life,GC,2003.0,Role-Playing,Ubisoft,0.61,0.16,0.0,0.02,0.79
2606,Momotarou Dentetsu 7,PS,1997.0,Simulation,Hudson Entertainment,0.0,0.0,0.74,0.05,0.79
2609,Tiger Woods PGA Tour 10,PS3,2009.0,Sports,Electronic Arts,0.42000000000000004,0.25,0.0,0.12,0.79
0,WCW Mayhem,N64,1999.0,Fighting,Electronic Arts,0.63,0.15,0.0,0.01,0.79
2612,Mega Man 5,NES,1992.0,Platform,Capcom,0.39,0.07,0.32,0.01,0.79
2613,Star Ocean: The Last Hope,X360,2009.0,Role-Playing,Square Enix,0.32,0.2,0.21,0.06,0.79
2614,Dance Dance Revolution SuperNOVA 2,PS2,2007.0,Simulation,Konami Digital Entertainment,0.64,0.03,0.02,0.1,0.79
2615,Armored Core 2,PS2,2000.0,Simulation,Ubisoft,0.28,0.22,0.23,0.07,0.79
2616,Dragon Quest Monsters 2,3DS,2014.0,Role-Playing,Square Enix,0.0,0.0,0.79,0.0,0.79
2617,Ghost Squad,Wii,2007.0,Shooter,Sega,0.42,0.21,0.09000000000000002,0.07,0.79
2618,Dead Island: Riptide,X360,2013.0,Action,Deep Silver,0.44,0.27,0.01,0.07,0.79
2619,Drawn to Life,DS,2007.0,Action,THQ,0.71,0.02,0.0,0.06,0.79
2620,Major League Baseball Featuring Ken Griffey Jr,N64,1998.0,Sports,Nintendo,0.75,0.03,0.0,0.01,0.79
2621,FIFA 12,Wii,2011.0,Sports,Electronic Arts,0.16,0.52,0.0,0.11,0.79
2622,Too Human,X360,2008.0,Role-Playing,Microsoft Game Studios,0.38,0.3,0.03,0.08,0.79
2624,NCAA Football 08,PS2,2007.0,Sports,Electronic Arts,0.65,0.03,0.0,0.11,0.79
2625,FIFA Soccer 2004,XB,2003.0,Sports,Electronic Arts,0.24,0.49,0.0,0.05,0.79
2626,Personal Trainer: Walking,DS,2008.0,Sports,Nintendo,0.22,0.32,0.17,0.07,0.79
2628,PokePark 2: Wonders Beyond,Wii,2011.0,Action,Nintendo,0.27,0.2,0.27,0.05,0.79
2629,Professor Layton and the Azran Legacy,3DS,2013.0,Puzzle,Nintendo,0.0,0.48,0.25,0.06,0.78
2630,Tom Clancy's Splinter Cell: Double Agent,X360,2006.0,Action,Ubisoft,0.67,0.05,0.01,0.06,0.78
2631,Yars' Revenge,2600,1982.0,Shooter,Atari,0.73,0.04,0.0,0.01,0.78
2632,Lips,X360,2008.0,Misc,Microsoft Game Studios,0.12,0.56,0.0,0.1,0.78
2633,Secret Agent Barbie: Royal Jewels Mission,GBA,2002.0,Platform,Vivendi Games,0.56,0.21,0.0,0.01,0.78
2634,Metroid Prime Hunters,DS,2006.0,Shooter,Nintendo,0.58,0.04,0.11,0.06,0.78
2635,The 7th Guest,PC,1992.0,Adventure,Virgin Interactive,0.01,0.77,0.0,0.0,0.78
2636,Doom,PS,1994.0,Shooter,Infogrames,0.43,0.3,0.0,0.05,0.78
2637,Buzz! The Hollywood Quiz,PS2,2007.0,Misc,Sony Computer Entertainment,0.17,0.0,0.0,0.61,0.78
2638,Puzzler World,DS,2009.0,Puzzle,Ubisoft,0.41,0.3,0.0,0.07,0.78
2640,We Sing,Wii,2009.0,Misc,Nordic Games,0.0,0.69,0.0,0.09,0.78
2641,Marvel vs. Capcom: Clash of Super Heroes,PS,1999.0,Fighting,Capcom,0.43,0.3,0.0,0.05,0.78
2642,God of War Saga,PS3,2012.0,Action,Sony Computer Entertainment,0.72,0.0,0.0,0.06,0.78
2643,Battle Stations,PS,1997.0,Strategy,Electronic Arts,0.43,0.29,0.0,0.05,0.78
0,Tetris Party Deluxe,DS,2010.0,Puzzle,Nintendo,0.29,0.3,0.12,0.07,0.78
2645,Pro Evolution Soccer 2016,PS4,2015.0,Sports,Konami Digital Entertainment,0.13,0.42,0.13,0.1,0.78
2646,Worms: Open Warfare,PSP,2006.0,Strategy,THQ,0.11,0.43,0.0,0.24,0.78
0,Star Wars Battlefront: Elite Squadron,PSP,2009.0,Shooter,LucasArts,0.38,0.24,0.0,0.16,0.78
2648,UFC Personal Trainer: The Ultimate Fitness System,X360,2011.0,Sports,THQ,0.53,0.19,0.0,0.06,0.78
2650,NBA 2K7,PS2,2006.0,Sports,Take-Two Interactive,0.65,0.02,0.0,0.11,0.78
2651,Need for Speed: ProStreet,PSP,2008.0,Racing,Electronic Arts,0.24,0.33,0.01,0.2,0.78
2652,Toy Story 3: The Video Game,X360,2010.0,Action,Disney Interactive Studios,0.41,0.29,0.0,0.07,0.78
2653,Torneko no Daibouken: Fushigi no Dungeon,SNES,1993.0,Role-Playing,ChunSoft,0.0,0.0,0.78,0.0,0.78
2655,James Bond 007: Nightfire,GC,2002.0,Shooter,Electronic Arts,0.6,0.16,0.0,0.02,0.78
2656,Banjo-Kazooie: Nuts & Bolts,X360,2008.0,Platform,Microsoft Game Studios,0.32,0.37000000000000005,0.0,0.09,0.78
2658,Avatar: The Game,X360,2009.0,Action,Ubisoft,0.34,0.35,0.0,0.08,0.78
2659,Harry Potter and the Half-Blood Prince,Wii,2009.0,Action,Electronic Arts,0.28,0.4,0.0,0.09,0.77
2660,DJ Hero,Wii,2009.0,Misc,Activision,0.47,0.23,0.0,0.07,0.77
2661,Perfect Dark Zero,X360,2005.0,Shooter,Microsoft Game Studios,0.66,0.02,0.03,0.06,0.77
2662,Galaxian,2600,1982.0,Shooter,Atari,0.72,0.05,0.0,0.01,0.77
2663,Andretti Racing,PS,1996.0,Racing,Electronic Arts,0.43,0.29,0.0,0.050000000000000044,0.77
0,Caesars Palace 2000: Millennium Gold Edition,PS,2000.0,Misc,Interplay,0.43,0.29,0.0,0.05,0.77
2665,Madden NFL 25,XOne,2013.0,Sports,Electronic Arts,0.67,0.05,0.0,0.05,0.77
2666,Air Raid,2600,1981.0,Action,Men-A-Vision,0.72,0.04,0.0,0.01,0.77
2668,Duke Nukem Forever,PS3,2011.0,Shooter,Take-Two Interactive,0.33,0.31,0.0,0.12,0.77
2670,Marvel Nemesis: Rise of the Imperfects,PS2,2005.0,Fighting,Electronic Arts,0.64,0.02,0.0,0.1,0.77
2673,Dragon Ball: Raging Blast,PS3,2009.0,Fighting,Namco Bandai Games,0.37000000000000005,0.19,0.11,0.1,0.77
2675,Conker's Bad Fur Day,N64,2001.0,Platform,THQ,0.53,0.22,0.0,0.02,0.77
2677,Star Wars Episode II: Attack of the Clones,GBA,2002.0,Action,THQ,0.55,0.2,0.0,0.01,0.77
2678,My Baby Girl,DS,2008.0,Simulation,Nobilis,0.61,0.1,0.0,0.06,0.77
2679,LEGO Batman 2: DC Super Heroes,DS,2012.0,Action,Warner Bros. Interactive Entertainment,0.43,0.27,0.0,0.06,0.77
2680,Twisted Metal: Head On,PSP,2005.0,Action,Sony Computer Entertainment,0.71,0.0,0.0,0.06,0.77
2681,Conflict: Desert Storm II - Back to Bagdhad,PS2,2003.0,Shooter,SCi,0.38,0.29,0.0,0.1,0.77
2682,Maximo: Ghosts to Glory,PS2,2001.0,Platform,Capcom,0.38,0.29,0.0,0.1,0.77
2683,Pokemon Dash,DS,2004.0,Racing,Nintendo,0.21,0.14,0.38,0.04,0.77
2684,Donkey Kong Country 3,GBA,2005.0,Platform,Nintendo,0.45,0.17,0.14,0.01,0.77
2685,All-Star Baseball 2003,PS2,2002.0,Sports,Acclaim Entertainment,0.38,0.29,0.0,0.1,0.77
2688,Sonic Unleashed,PS2,2008.0,Platform,Sega,0.37,0.04,0.0,0.36,0.76
0,Formula 1,PS,1996.0,Racing,Psygnosis,0.18,0.12,0.42,0.05,0.76
2690,Plants vs. Zombies: Garden Warfare,PS3,2014.0,Shooter,Electronic Arts,0.22,0.4,-2.7755575615628914e-17,0.14,0.76
0,The Sims 3,3DS,2011.0,Simulation,Electronic Arts,0.3,0.37,0.03,0.07,0.76
2693,Driv3r,XB,2004.0,Racing,Atari,0.36,0.38,0.0,0.03,0.76
0,Mercenaries: Playground of Destruction,PS2,2005.0,Action,LucasArts,0.64,0.02,0.0,0.1,0.76
2695,MTV Celebrity Deathmatch,PS2,2003.0,Fighting,Gotham Games,0.37,0.29,0.0,0.1,0.76
2696,Street Fighter Alpha: Warriors' Dreams,PS,1995.0,Fighting,Virgin Interactive,0.17,0.11,0.43,0.05,0.76
2697,Mortal Kombat,PSV,2012.0,Fighting,Warner Bros. Interactive Entertainment,0.47,0.18,0.0,0.12,0.76
2698,ISS Pro Evolution,PS,1998.0,Sports,Konami Digital Entertainment,0.0,0.0,0.71,0.05,0.76
2699,Lost Planet 2,X360,2010.0,Shooter,Capcom,0.37999999999999995,0.24,0.08,0.06,0.76
2700,SoulCalibur V,PS3,2012.0,Fighting,Namco Bandai Games,0.35,0.24,0.07,0.1,0.76
2701,Portal 2,PC,2011.0,Shooter,Valve Software,0.33,0.32,0.0,0.11,0.76
2702,Super Monkey Ball: Touch & Roll,DS,2005.0,Misc,Sega,0.7,0.01,0.0,0.06,0.76
2703,Pro Evolution Soccer 2015,PS4,2014.0,Sports,Konami Digital Entertainment,0.09,0.43,0.11,0.13,0.76
2704,Drawn to Life: The Next Chapter,Wii,2009.0,Puzzle,THQ,0.29,0.39,0.0,0.08,0.76
2705,The Lord of the Rings: Conquest,PS3,2009.0,Action,Electronic Arts,0.38,0.26,0.0,0.12,0.76
2707,Tony Hawk's Pro Skater 2,N64,2001.0,Sports,Activision,0.59,0.16,0.0,0.01,0.76
2708,Taiko no Tatsujin: Tatakon de Dodon ga Don,PS2,2002.0,Misc,Namco Bandai Games,0.0,0.0,0.76,0.0,0.76
2709,Mega Man Battle Network 6: Cybeast Falzar / Gregar,GBA,2005.0,Role-Playing,Capcom,0.09,0.03,0.62,0.02,0.76
2710,Syphon Filter: The Omega Strain,PS2,2004.0,Shooter,Sony Computer Entertainment,0.37,0.29,0.0,0.1,0.76
2711,FIFA Soccer 11,PS2,2010.0,Sports,Electronic Arts,0.11,0.29,0.0,0.36,0.76
2712,Deer Drive,Wii,2009.0,Sports,Big Ben Interactive,0.67,0.04,0.0,0.05,0.76
2713,Kane & Lynch: Dead Men,X360,2007.0,Shooter,Eidos Interactive,0.36,0.31,0.01,0.08,0.76
2714,Assassin's Creed: Revelations,PC,2011.0,Action,Ubisoft,0.14,0.48,0.0,0.14,0.76
2715,Mortal Kombat: Deception,XB,2004.0,Fighting,Midway Games,0.61,0.12,0.0,0.03,0.76
2716,Ace Attorney Investigations: Miles Edgeworth,DS,2009.0,Adventure,Capcom,0.26999999999999996,0.15,0.3,0.04,0.76
2717,That's So Raven,GBA,2004.0,Adventure,Disney Interactive Studios,0.54,0.2,0.010000000000000009,0.01,0.76
2719,Marvel vs. Capcom 2: New Age of Heroes,PS2,2002.0,Fighting,Capcom,0.31,0.24,0.13,0.08,0.76
0,Need for Speed: Shift,PSP,2009.0,Racing,Electronic Arts,0.16,0.38,0.01,0.21,0.76
2721,Kane & Lynch: Dead Men,PS3,2007.0,Shooter,Eidos Interactive,0.29,0.33,0.01,0.13,0.76
2722,Dark Souls II,X360,2014.0,Role-Playing,Namco Bandai Games,0.48,0.2,0.01,0.06,0.76
2724,Legends of Wrestling,PS2,2001.0,Fighting,Acclaim Entertainment,0.37,0.29,0.0,0.1,0.76
2726,Monopoly Streets,Wii,2010.0,Misc,Electronic Arts,0.24,0.44,0.0,0.08,0.76
2727,Genji: Days of the Blade,PS3,2006.0,Action,Sony Computer Entertainment,0.18,0.38,0.06,0.14,0.76
2729,Final Fantasy Legend III,GB,1991.0,Role-Playing,SquareSoft,0.0,0.0,0.76,0.0,0.76
2730,Total War: Rome II,PC,2013.0,Strategy,Sega,0.12,0.53,0.0,0.11,0.76
2731,Rare Replay,XOne,2015.0,Misc,Microsoft Game Studios,0.45999999999999996,0.21,0.01,0.07,0.75
2732,Spectrobes,DS,2007.0,Role-Playing,Disney Interactive Studios,0.67,0.03,0.0,0.06,0.75
2733,Wall-E,PS2,2008.0,Platform,THQ,0.21,0.0,0.0,0.54,0.75
2734,WWE SmackDown vs. Raw 2009,PSP,2008.0,Fighting,THQ,0.41,0.21,0.0,0.14,0.75
2735,Band Hero,PS3,2009.0,Misc,Activision,0.41,0.24,0.0,0.11,0.75
2736,Mega Man X5,PS,2000.0,Platform,Capcom,0.3,0.21,0.2,0.05,0.75
2737,Tearaway,PSV,2013.0,Adventure,Sony Computer Entertainment Europe,0.17,0.39,0.0,0.19,0.75
2739,The Godfather II,PS3,2009.0,Action,Electronic Arts,0.41,0.22,0.01,0.11,0.75
2742,[Prototype 2],PS3,2012.0,Action,Activision,0.36,0.28,0.0,0.11,0.75
2743,Shark Tale,PS2,2004.0,Action,Activision,0.37,0.29,0.0,0.1,0.75
2744,San Francisco Rush: Extreme Racing,N64,1997.0,Racing,GT Interactive,0.63,0.11,0.0,0.01,0.75
2745,The Amazing Spider-Man (Console Version),X360,2012.0,Action,Activision,0.43,0.26,0.0,0.06,0.75
2747,Red Faction: Guerrilla,PS3,2009.0,Shooter,THQ,0.33,0.28,0.02,0.12,0.75
2748,Street Fighter EX Plus Alpha,PS,1997.0,Fighting,Virgin Interactive,0.28,0.19,0.23,0.05,0.75
2749,Madden NFL 06,PSP,2005.0,Sports,Electronic Arts,0.69,0.0,0.0,0.06,0.75
2750,Coded Arms,PSP,2005.0,Shooter,Konami Digital Entertainment,0.28,0.29,0.0,0.18,0.75
2751,Tony Hawk's Underground 2,XB,2004.0,Sports,Activision,0.48,0.24,0.0,0.03,0.75
2752,Tales of Vesperia,X360,2008.0,Role-Playing,Atari,0.32,0.18,0.2,0.05,0.75
2753,X-Men Origins: Wolverine - Uncaged Edition,PS3,2009.0,Action,Activision,0.31,0.32,-0.010000000000000009,0.13,0.75
2754,Madagascar: Escape 2 Africa,DS,2008.0,Action,Activision,0.42,0.26,0.0,0.07,0.75
2755,Split/Second,PS3,2010.0,Racing,Disney Interactive Studios,0.31,0.31,0.01,0.12,0.75
2758,Just Dance 2015,WiiU,2014.0,Misc,Ubisoft,0.4,0.28,0.0,0.07,0.75
2759,Borderlands: The Pre-Sequel,X360,2014.0,Shooter,Take-Two Interactive,0.46,0.22,0.01,0.06,0.75
0,LittleBigPlanet 3,PS3,2014.0,Platform,Sony Computer Entertainment,0.2,0.43,0.01,0.11,0.75
2764,Ace Combat: Assault Horizon,PS3,2011.0,Action,Namco Bandai Games,0.2899999999999999,0.16,0.22,0.07,0.74
2765,Jump Ultimate Stars,DS,2006.0,Fighting,Nintendo,0.0,0.0,0.74,0.0,0.74
2767,Resonance of Fate,PS3,2010.0,Role-Playing,Sega,0.2,0.22,0.24,0.09,0.74
2768,Burnout,PS2,2001.0,Racing,Acclaim Entertainment,0.36,0.28,0.0,0.1,0.74
2769,Tom Clancy's Rainbow Six: Vegas,PSP,2007.0,Shooter,Ubisoft,0.42,0.19,0.0,0.14,0.74
2770,Final Fantasy XIII-2,X360,2011.0,Role-Playing,Square Enix,0.36,0.3,0.02,0.06,0.74
2771,LEGO Batman 2: DC Super Heroes,3DS,2012.0,Action,Warner Bros. Interactive Entertainment,0.4099999999999999,0.27,0.0,0.06,0.74
2773,Mario & Luigi: Paper Jam,3DS,2015.0,Role-Playing,Nintendo,0.16,0.3,0.25,0.04,0.74
2774,Yu-Gi-Oh! Dungeon Dice Monsters,GBA,2001.0,Misc,Konami Digital Entertainment,0.42,0.16,0.15,0.01,0.74
2775,Brink,PS3,2011.0,Shooter,Bethesda Softworks,0.29,0.32,0.01,0.12,0.74
2776,LEGO Marvel Super Heroes,WiiU,2013.0,Action,Warner Bros. Interactive Entertainment,0.31,0.35,0.02,0.06,0.74
2777,Blur,PS3,2010.0,Racing,Activision,0.22,0.37,0.02,0.13,0.74
2779,Namco Museum Remix,Wii,2007.0,Misc,Atari,0.68,0.0,0.0,0.05,0.74
2780,Midnight Club 3: DUB Edition,XB,2005.0,Racing,Take-Two Interactive,0.61,0.1,0.0,0.03,0.74
2781,Crysis 2,PC,2011.0,Action,Electronic Arts,0.16,0.45,-2.7755575615628914e-17,0.13,0.74
2783,Tiger Woods PGA Tour 2001,PS2,2001.0,Sports,Electronic Arts,0.36,0.28,0.010000000000000009,0.09,0.74
2784,Indiana Jones and the Staff of Kings,Wii,2009.0,Action,Activision,0.36,0.3,0.0,0.08,0.74
2785,Jet Moto 3,PS,1999.0,Racing,Sony Computer Entertainment,0.41,0.28,0.0,0.05,0.74
2786,Naruto Shippuden: Ultimate Ninja Storm Generations,PS3,2012.0,Fighting,Namco Bandai Games,0.27,0.25,0.14,0.08,0.74
2789,Pirates of the Caribbean: At World's End,PS3,2007.0,Action,Disney Interactive Studios,0.17,0.41,0.0,0.15,0.74
2790,Tiger Woods PGA Tour 08,PS3,2007.0,Sports,Electronic Arts,0.22,0.38,0.0,0.14,0.74
2792,Sword of Mana,GBA,2003.0,Role-Playing,Nintendo,0.31,0.11,0.3,0.02,0.74
2795,The Sims 2: Castaway,DS,2007.0,Simulation,Electronic Arts,0.63,0.05,0.0,0.06,0.73
0,FIFA: Road to World Cup 98,PS,1997.0,Sports,Electronic Arts,0.14,0.09,0.46,0.03999999999999998,0.73
2797,Dragon Ball Z: Ultime Menace,SNES,1993.0,Fighting,Namco Bandai Games,0.0,0.0,0.73,0.0,0.73
2799,Call of Duty: Ghosts,PC,2013.0,Shooter,Activision,0.23,0.41,0.0,0.09,0.73
2800,Yoshi,GB,1991.0,Puzzle,Nintendo,0.0,0.0,0.73,0.0,0.73
2801,Mortal Kombat 4,N64,1998.0,Fighting,GT Interactive,0.55,0.16999999999999993,0.0,0.01,0.73
0,F1 2011,X360,2011.0,Racing,Codemasters,0.11,0.51,0.01,0.09,0.73
2803,Madden NFL 10,Wii,2009.0,Sports,Electronic Arts,0.63,0.04,0.0,0.06,0.73
2806,Practise English!,DS,2007.0,Misc,Nintendo,0.0,0.0,0.73,0.0,0.73
2807,Oddworld: Munch's Oddysee,XB,2001.0,Platform,Atari,0.54,0.16,0.0,0.03,0.73
2808,Berzerk,2600,1981.0,Shooter,Atari,0.68,0.04,0.0,0.01,0.73
2809,NHL 11,X360,2010.0,Sports,Electronic Arts,0.61,0.07,0.0,0.05,0.73
2810,Dragon Age: Inquisition,PC,2014.0,Role-Playing,Electronic Arts,0.32,0.34,0.0,0.07,0.73
2811,iCarly,DS,2009.0,Adventure,Activision,0.67,0.01,0.0,0.05,0.73
2812,DiRT 3,X360,2011.0,Racing,Codemasters,0.23,0.41,0.01,0.08,0.73
2813,NCAA Football 07,X360,2006.0,Sports,Electronic Arts,0.67,0.0,0.0,0.06,0.73
2814,Just Dance Wii,Wii,2011.0,Misc,Nintendo,0.0,0.0,0.73,0.0,0.73
2815,Full Spectrum Warrior,XB,2004.0,Strategy,THQ,0.5399999999999999,0.16,0.0,0.03,0.73
2817,Beyblade VForce: Ultimate Blader Jam,GBA,2003.0,Action,Atari,0.52,0.19,0.010000000000000009,0.01,0.73
2818,Ratchet & Clank Collection,PS3,2012.0,Action,Sony Computer Entertainment,0.47,0.14,0.02,0.09,0.73
2819,Avatar: The Game,Wii,2009.0,Action,Ubisoft,0.33,0.32,0.0,0.08,0.73
2820,Shaun Palmer's Pro Snowboarder,PS2,2001.0,Sports,Codemasters,0.36,0.28,0.0,0.09,0.73
2821,MX vs. ATV Reflex,X360,2009.0,Racing,THQ,0.52,0.15,0.0,0.06,0.73
2823,SSX,X360,2012.0,Sports,Electronic Arts,0.38,0.28,-1.1102230246251565e-16,0.06,0.72
2826,XCOM: Enemy Unknown,PC,2012.0,Strategy,Take-Two Interactive,0.26,0.36,0.0,0.1,0.72
2828,Star Wars Episode III: Revenge of the Sith,GBA,2005.0,Action,Ubisoft,0.52,0.19,0.0,0.01,0.72
2829,Ultimate Spider-Man,PS2,2005.0,Action,Activision,0.6,0.02,0.0,0.1,0.72
2830,FIFA Soccer 13,Wii,2012.0,Action,Electronic Arts,0.19,0.46,0.0,0.08,0.72
0,God Eater,PSP,2010.0,Action,Unknown,0.0,0.0,0.72,0.0,0.72
2832,Final Fantasy XIV: A Realm Reborn,PS4,2014.0,Role-Playing,Square Enix,0.32,0.22,0.08,0.1,0.72
2833,SD Gundam G Generation,PS,1998.0,Strategy,Namco Bandai Games,0.0,0.0,0.67,0.04999999999999993,0.72
0,Area 51,PS,1996.0,Shooter,GT Interactive,0.4,0.27,0.0,0.05,0.72
2835,NBA Live 08,PS2,2007.0,Sports,Electronic Arts,0.59,0.02,0.01,0.1,0.72
2836,Dead to Rights,XB,2002.0,Shooter,Electronic Arts,0.53,0.17,0.0,0.03,0.72
2837,Tiger Woods PGA Tour 07,PS2,2006.0,Sports,Electronic Arts,0.6,0.02,0.0,0.1,0.72
2838,Test Drive 6,PS,1999.0,Racing,Atari,0.4,0.27,0.0,0.05,0.72
2839,Kouchuu Ouja Mushi King,GBA,2005.0,Action,Sega,0.0,0.0,0.7,0.02,0.72
2840,LEGO Harry Potter: Years 5-7,DS,2012.0,Action,Warner Bros. Interactive Entertainment,0.35,0.3,0.0,0.07,0.72
2841,Major League Baseball 2K7,X360,2007.0,Sports,Spike,0.67,0.0,0.0,0.05,0.72
2842,X-Men: Mutant Academy 2,PS,2001.0,Fighting,Activision,0.4,0.27,0.0,0.05,0.72
2843,Terraria,X360,2013.0,Action,505 Games,0.35,0.31,-5.551115123125783e-17,0.06,0.72
2844,Jampack Winter 2001,PS2,2001.0,Misc,Sony Computer Entertainment,0.35,0.28,0.0,0.09,0.72
2845,Kangaroo,2600,1982.0,Platform,Atari,0.67,0.04,0.0,0.01,0.72
2846,James Bond 007: Blood Stone,PS3,2010.0,Shooter,Activision,0.18,0.38,0.02,0.13,0.72
2847,Ben 10: Protector of Earth,PSP,2007.0,Action,D3Publisher,0.23,0.31,0.0,0.18,0.72
2849,Super Monkey Ball Jr.,GBA,2002.0,Puzzle,Atari,0.51,0.19,0.0,0.01,0.71
2850,Driver: San Francisco,X360,2011.0,Racing,Ubisoft,0.25,0.39,0.0,0.08,0.72
2853,Mobile Suit Gundam: Encounters in Space,PS2,2003.0,Simulation,Namco Bandai Games,0.05,0.04,0.61,0.01,0.72
2854,Catherine,PS3,2011.0,Adventure,Deep Silver,0.3,0.15,0.2,0.07,0.72
2855,Fear Effect,PS,1998.0,Action,Eidos Interactive,0.4,0.27,0.0,0.05,0.72
2856,FIFA Soccer 11,DS,2010.0,Sports,Electronic Arts,0.13,0.5,0.0,0.09,0.72
2857,Crysis,PC,2007.0,Shooter,Electronic Arts,0.0,0.69,0.0,0.03,0.72
2858,Battlefield: Bad Company 2,PC,2010.0,Shooter,Electronic Arts,0.19,0.53,0.0,0.0,0.71
2859,The Lord of the Rings: The Two Towers,XB,2002.0,Action,Electronic Arts,0.45,0.24,0.0,0.03,0.71
2861,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,2007.0,Role-Playing,Square Enix,0.18,0.01,0.5,0.02,0.71
2863,Omerta: City of Gangsters,X360,2011.0,Simulation,Konami Digital Entertainment,0.42,0.23,0.0,0.06,0.71
2866,Top Spin 4,PS3,2011.0,Sports,Take-Two Interactive,0.17,0.4,0.0,0.14,0.71
